City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,filipstad,59.7124,14.1683,13.5,84,28,1.19,SE,1690525094
160,tazovsky,67.4667,78.7,18.56,81,87,1.75,RU,1690525095
161,island harbour,50.724,-1.2758,17.31,96,86,1.34,GB,1690525095
162,bulayevo,54.9056,70.4439,26.77,40,72,3.28,KZ,1690525096
163,mooloolaba,-26.6833,153.1167,20.04,68,46,3.97,AU,1690525097
164,isiro,2.7739,27.616,22.74,79,32,0.98,CD,1690525097
165,alaghsas,17.0187,8.0168,27.94,74,26,2.06,NE,1690524838
166,pauini,-7.7136,-66.9764,22.46,60,79,0.59,BR,1690525098
167,karasu,41.071,30.7854,21.57,71,11,0.84,TR,1690525099
168,tura,25.5198,90.2201,29.56,72,100,2.96,IN,1690525100
169,zakamensk,50.3741,103.2863,27.57,35,92,2.29,RU,1690525100
170,tlahualilo de zaragoza,26.1167,-103.45,27.92,31,2,8.75,MX,1690525101
171,pacific grove,36.6177,-121.9166,15.13,88,0,3.09,US,1690525101
172,mount pearl,47.5166,-52.7813,19.14,92,100,7.72,CA,1690525102
173,susuman,62.7833,148.1667,11.9,54,84,1.43,RU,1690525103
174,ribeira grande,38.5167,-28.7,23.22,100,75,7.2,PT,1690525103
175,hithadhoo,-0.6,73.0833,28.12,79,97,6.1,MV,1690525104
176,aoulef,26.9667,1.0833,34.96,10,4,4.19,DZ,1690525104
177,terenozek,45.05,64.9833,33.25,21,0,6.89,KZ,1690525105
178,zhanaozen,43.3,52.8,34.07,25,0,7.62,KZ,1690525105
179,aracuai,-16.8497,-42.0703,20.0,78,92,1.11,BR,1690525106
180,hammerfest,70.6634,23.6821,10.25,93,75,0.0,NO,1690525106
181,es castell,39.8795,4.2854,25.38,83,0,1.54,ES,1690525107
182,agogo,6.8,-1.0819,21.32,98,100,2.51,GH,1690524979
183,peterhead,57.5058,-1.7981,15.25,97,100,3.04,GB,1690525108
184,pyt-yakh,60.7499,72.8582,22.27,58,94,3.41,RU,1690525109
185,flin flon,54.7682,-101.865,11.62,74,99,1.05,CA,1690524918
186,wailua homesteads,22.0669,-159.378,26.44,83,20,7.72,US,1690525110
187,crane,31.3974,-102.3501,28.37,35,2,4.46,US,1690525111
188,mar del plata,-38.0023,-57.5575,6.64,89,100,3.58,AR,1690525090
189,les cayes,18.2,-73.75,26.91,78,55,2.69,HT,1690525112
190,horta,38.5333,-28.6333,22.8,97,75,7.2,PT,1690525112
191,klyuchi,52.2667,79.1667,26.86,38,100,3.8,RU,1690525113
192,cole harbour,44.6724,-63.4751,20.66,97,100,6.69,CA,1690525113
193,sanctuary point,-35.1114,150.629,20.18,58,67,6.27,AU,1690525114
194,lockwood,45.8191,-108.4149,18.69,75,20,4.12,US,1690525114
195,ha'il,27.5219,41.6907,35.01,14,0,2.06,SA,1690525104
196,asaita,11.5636,41.4394,35.64,31,95,3.39,ET,1690525115
197,palmer,42.1584,-72.3287,22.65,85,0,0.0,US,1690525116
198,onega,63.9061,38.1404,17.86,69,99,3.4,RU,1690525117
199,christchurch,-43.5333,172.6333,6.29,83,36,3.09,NZ,1690524644
200,hamilton,39.1834,-84.5333,23.78,93,40,3.6,US,1690525118
201,ta`u,-14.2336,-169.5144,26.14,73,100,6.43,AS,1690525118
202,yuzhno-kurilsk,44.0306,145.8556,23.61,70,53,0.64,RU,1690525119
203,ati,13.2154,18.3353,27.98,63,90,2.89,TD,1690525119
204,ust-nera,64.5667,143.2,17.5,33,79,0.48,RU,1690525120
205,coari,-4.085,-63.1414,23.49,67,21,1.19,BR,1690525120
206,ilulissat,69.2167,-51.1,2.01,100,100,0.0,GL,1690525122
207,port douglas,-16.4833,145.4667,23.55,69,69,5.35,AU,1690525122
208,snina,48.9886,22.151,12.97,90,86,2.5,SK,1690525123
209,port lincoln,-34.7333,135.8667,16.12,68,3,6.9,AU,1690525123
210,turek,52.0155,18.5005,15.31,92,100,4.76,PL,1690525016
211,yiyang,28.5892,112.3283,33.55,58,50,5.92,CN,1690524972
212,islamorada,24.9243,-80.6278,28.33,88,100,2.68,US,1690524989
213,maposeni,-10.5833,35.4,19.58,49,23,1.51,TZ,1690525125
214,mumford,5.2618,-0.759,23.81,93,100,3.29,GH,1690525126
215,kodiak,57.79,-152.4072,11.79,94,100,4.13,US,1690525126
216,st. john's,47.5649,-52.7093,19.6,97,100,7.72,CA,1690524939
217,kone,-21.0595,164.8658,21.11,52,35,3.72,NC,1690525127
218,keren,15.7778,38.4581,23.32,71,42,2.27,ER,1690525128
219,lompoc,34.6391,-120.4579,15.08,94,0,0.0,US,1690525128
220,balotra,25.8333,72.2333,31.27,66,95,7.75,IN,1690525129
